id;identificador;tipo;estado;comienzo;fin
1;if thoroughly exonerate;CARTAS_RENOVACION;FINALIZADO;2026-02-23T22:56:36;2026-02-23T19:06:57
2;willfully section;CARTAS_ACREDITACION;PAUSADO;2026-02-24T08:13:39;2026-02-24T05:34:28
3;scale cemetery;REMESA_INSS;INICIADO;2026-02-24T13:33:03;2026-02-24T02:06:43
4;under geez valiantly;CARTAS_ACREDITACION;REANUDADO;2026-02-24T09:25:31;2026-02-24T06:41:24
5;wherever aw within;CARTAS_RENOVACION;REANUDADO;2026-02-24T01:42:18;2026-02-24T12:15:07
6;gazebo;CARTAS_RENOVACION;INICIADO;2026-02-24T01:14:40;2026-02-24T04:02:22
7;dearest;REMESA_INSS;CANCELADO;2026-02-24T05:09:28;2026-02-24T01:31:27
8;boring;CARTAS_ACREDITACION;ABORTADO;2026-02-24T06:46:15;2026-02-23T19:06:59
9;whine upward certainly;REMESA_INSS;PREPARADO;2026-02-24T06:26:50;2026-02-24T15:36:22
10;likewise;CARTAS_RENOVACION;INICIADO;2026-02-23T19:58:33;2026-02-24T01:10:45
