id;street_address;postal_code;city;state_province
1;treble hmph;above homely;Ronnybury;meanwhile alligator
2;failing indeed license;scope;Carmenville;flimsy winged smoothly
3;er when lest;ew;Wellington;offensively
4;randomize;wearily sinful;Lake Giovannystad;pulp almost joshingly
5;makeover as;inside;Stammstad;lustrous
6;finally international;because symbolise;Hampton;well-documented politely tomatillo
7;carefree leap;oh now;Fort Aaronstead;hierarchy
8;so;towards hammock upon;South Mylescester;declaration shoot wring
9;athwart;an euphonium whenever;Baldwin Park;vice duh tasty
10;over till ouch;unbearably;South Charlene;till mysteriously
